"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","Signs","","","","","73504","",""
"","","","Snowdomes","","","","","3637","",""
"","","","Spoons","","","","","13836","",""
"","","","State Plates","","","","","1360","",""
"","","","Tea Pots, Sets","","","","","73506","",""
"","","","Trays, Platters","","","","","86918","",""
"","","","Trinket Boxes","","","","","13837","",""
"","","","Vases","","","","","73507","",""
"","","","Wall Hangings, Mirrors","","","","","63783","",""
"","","","Windchimes","","","","","86926","",""
"","","","Other Decorative Collectibles","","","","","41393","",""
"","","Virtual & Crypto Collectibles","","","","","","258032","",""
"","+","Disneyana","","","","","","137","",""
"","+","Fantasy, Mythical & Magic","","","","","","10860","",""
"","-","Historical Memorabilia","","","","","","259135","",""
"","","","Accounting & Taxation","","","","","165494","",""
"","","+","Astronauts & Space Travel","","","","","13902","",""
"","","+","Banking & Insurance","","","","","165504","",""
"","","","Cities & Towns","","","","","167992","",""
"","","+","Fairs, Parks & Architecture","","","","","165513","",""
"","","+","Firefighting & Rescue","","","","","4038","",""
"","","+","Flags & Pennants","","","","","13881","",""
"","","+","Fraternal Organizations","","","","","402","",""
"","","","Inventors & Geniuses","","","","","165554","",""
"","","","Lawyers & Legal","","","","","165555","",""
"","","","Mobs, Gangsters & Criminals","","","","","165556","",""
"","","-","Police","","","","","928","",""
"","","","","Badges: Mini","","","","10956","",""
"","","","","Badges: Novelty & Replica","","","","167987","",""
"","","","+","Badges: Obsolete","","","","167988","",""
"","","","","Belts & Belt Buckles","","","","103985","",""
"","","","","Decals & Stickers","","","","103986","",""
"","","","","Handcuffs & Keys","","","","39665","",""
"","","","","Hats & Caps","","","","103987","",""
"","","","","Holsters","","","","39666","",""
"","","","","ID Holders","","","","165557","",""
"","","","","Keychains","","","","103988","",""
"","","","","Lights","","","","39667","",""
"","","","","Mugs & Cups","","","","103989","",""
"","","","-","Patches","","","","39668","",""
"","","","","","Alabama","","","39669","",""
"","","","","","Alaska","","","39670","",""
"","","","","","Arizona","","","39671","",""
"","","","","","Arkansas","","","39672","",""
"","","","","","California","","","39673","",""
"","","","","","Colorado","","","39674","",""
"","","","","","Connecticut","","","39675","",""
"","","","","","Delaware","","","39676","",""
"","","","","","District of Columbia","","","39677","",""
"","","","","","Florida","","","39678","",""
"","","","","","Georgia","","","39679","",""
"","","","","","Hawaii","","","39680","",""
"","","","","","Idaho","","","39681","",""
"","","","","","Illinois","","","39682","",""
"","","","","","Indiana","","","39683","",""
"","","","","","Iowa","","","39684","",""
"","","","","","Kansas","","","39685","",""
"","","","","","Kentucky","","","39686","",""
"","","","","","Louisiana","","","39687","",""
"","","","","","Maine","","","39688","",""
"","","","","","Maryland","","","39689","",""
"","","","","","Massachusetts","","","39690","",""
"","","","","","Michigan","","","39691","",""
"","","","","","Minnesota","","","39692","",""
"","","","","","Mississippi","","","39693","",""
"","","","","","Missouri","","","39694","",""
"","","","","","Montana","","","39695","",""
"","","","","","Nebraska","","","39696","",""
"","","","","","Nevada","","","39697","",""
"","","","","","New Hampshire","","","39698","",""
"","","","","","New Jersey","","","39699","",""
"","","","","","New Mexico","","","39700","",""
"","","","","","New York","","","930","",""
"","","","","","North Carolina","","","39701","",""
"","","","","","North Dakota","","","40128","",""
"","","","","","Ohio","","","39702","",""
"","","","","","Oklahoma","","","39703","",""
"","","","","","Oregon","","","39704","",""
"","","","","","Pennsylvania","","","39705","",""
"","","","","","Rhode Island","","","39706","",""
"","","","","","South Carolina","","","39707","",""
"","","","","","South Dakota","","","39708","",""
"","","","","","Tennessee","","","39709","",""
"","","","","","Texas","","","39710","",""
"","","","","","Utah","","","39711","",""
"","","","","","Vermont","","","39712","",""
"","","","","","Virginia","","","39713","",""
"","","","","","Washington","","","39714","",""
"","","","","","West Virginia","","","39715","",""
"","","","","","Wisconsin","","","39716","",""
"","","","","","Wyoming","","","39717","",""
"","","","","","US Territories","","","165558","",""
"","","","","","Unspecified, Unknown State","","","48779","Renamed from [Unknown State]",""
"","","","","","Mixed Lots","","","167991","",""
"","","","","","International","","","39718","",""
"","","","","Photographs","","","","103990","",""
"","","","","Pins & Buttons","","","","39719","",""
"","","","","Posters","","","","103991","",""
"","","","","Shirts","","","","50780","",""
"","","","","Signs & Plaques","","","","39720","",""
"","","","","Whistles","","","","103992","",""
"","","","","Other Police Collectibles","","","","395","",""
"","","+","Political","","","","","259136","",""
"","","","Royalty Collectibles","","","","","39630","",""
"","","+","Teaching & Education","","","","","39725","",""
"","","","Veterinary Medicine","","","","","165564","",""
"","","","Other Historical Memorabilia","","","","","259144","",""
"","+","Holiday & Seasonal","","","","","","907","",""
"","-","Kitchen & Home","","","","","","13905","",""
"","","","Electric Fans","","","","","4037","",""
"","","","Flue Covers","","","","","4043","",""
"","","+","Furniture","","","","","12513","",""
"","","","Irons","","","","","13919","",""
"","","+","Kitchenware","","","","","81","",""
"","","","Large Appliances","","","","","165567","",""
"","","","Small Appliances","","","","","116013","Moved from [Small Kitchen Appliances-20667] Renamed from [Vintage Small Appliances]",""
"","","","Magnets","","","","","476","",""
"","","+","Tableware","","","","","978","",""
"","","","Vintage Vacuums","","","","","115993","",""
"","+","Knives, Swords & Blades","","","","","","1401","",""
"","+","Lamps, Lighting","","","","","","1404","",""
"","+","Linens & Textiles (1930-Now)","","","","","","940","",""
"","+","Metalware","","","","","","1430","",""
"","+","Militaria","","","","","","13956","",""
"","+","Non-Sport Trading Cards","","","","","","182982","",""
"","+","Paper","","","","","","124","",""
"","+","Pens & Writing Instruments","","","","","","966","",""
"","+","Pez, Keychains, Promo Glasses","","","","","","14005","",""
"","","Phone Cards","","","","","","60811","",""
"","+","Photographic Images","","","","","","14277","",""
"","+","Pinbacks, Bobbles, Lunchboxes","","","","","","39507","",""
"","+","Postcards","","","","","","914","",""
"","+","Radio, Phonograph, TV, Phone","","","","","","29832","",""
"","+","Religion & Spirituality","","","","","","1446","",""
"","-","Rocks, Fossils & Minerals","","","","","","3213","",""
"","","+","Crystals & Mineral Specimens","","","","","3221","",""
"","","-","Fossils","","","","","3215","",""
"","","","+","Arthropods","","","","165705","",""
"","","","","Brachiopods","","","","165709","",""
"","","","","Coral","","","","165715","",""
"","","","+","Echinoderms","","","","165716","",""
"","","","+","Mollusks","","","","165710","",""
"","","","+","Vegetation","","","","165719","",""
"","","","+","Vertebrates","","","","165722","",""
"","","","","Unidentified Fossils","","","","165725","Renamed from [Unknown]",""
"","","","","Tools & Supplies","","","","165726","",""
"","","","","Reproductions","","","","155295","",""
"","","","","Other Collectible Fossils","","","","3214","",""
"","","+","Lapidary Materials","","","","","4839","",""
"","","","Meteorites & Tektites","","","","","3239","",""
"","","","Publications","","","","","4259","",""
"","","+","Shells","","","","","82515","",""
"","","","Stone Carvings","","","","","12525","",""
"","","","Merchandise & Memorabilia","","","","","165727","",""
"","","","Other Rocks, Fossils, Minerals","","","","","415","",""
"","+","Science Fiction & Horror","","","","","","152","",""
"","+","Science & Medicine (1930-Now)","","","","","","412","",""
"","+","Sewing (1930-Now)","","","","","","113","",""
"","+","Souvenirs & Travel Memorabilia","","","","","","165800","",""
"","+","Tobacciana","","","","","","593","",""
"","+","Tools, Hardware & Locks","","","","","","13849","",""
"","+","Transportation","","","","","","417","",""
"","-","Vanity, Perfume & Shaving","","","","","","597","",""
"","","","Combs, Brushes","","","","","18790","",""
"","","-","Compacts","","","","","35979","",""
"","","","","Pre-1930","","","","156526","",""
"","","","","1930-1949","","","","156527","",""
"","","","","1950-1979","","","","156528","",""
"","","","","1980-Now","","","","156529","",""
"","","","","Unspecified, Unknown Date","","","","600","Renamed from [Unknown]",""
"","","","Hand Mirrors","","","","","14081","",""
"","","","Hatpins","","","","","601","",""
"","","","Lipstick Tubes, Holders","","","","","156530","",""
"","","+","Perfumes","","","","","35982","",""
"","","","Perfumes-Solid","","","","","170077","",""
"","","","Pill Boxes","","","","","14082","",""
"","","","Powder Boxes","","","","","156531","",""
"","","","Powder Jars","","","","","4154","",""
"","","","Sets","","","","","4155","",""
"","","+","Shaving","","","","","35986","",""
"","","","Trays","","","","","35993","",""
"","","","Trinket Boxes","","","","","18791","",""
"","","","Vanity Accessories","","","","","599","",""
"","","","Reproductions","","","","","168052","",""
"","","","Price Guides & Publications","","","","","171199","",""
"","","","Other Vanity Collectibles","","","","","598","",""
"","-","Vintage, Retro, Mid-Century","","","","","","69851","",""
"","","","1940s","","","","","69852","",""
"","","","1950s","","","","","69853","",""
"","","","1960s","","","","","69854","",""
"","","","1970s","","","","","69855","",""
"","","","1980s","","","","","69856","",""
"","","","Bakelite","","","","","72397","",""
"","","","Plastic","","","","","108962","",""
"","","","Unspecified, Unknown Date","","","","","156532","Renamed from [Unknown]",""
"","+","Wholesale Lots","","","","","","45058","",""
"-","Computers/Tablets & Networking","","","","","","","58058","",""
"","-","3D Printers & Supplies","","","","","","183062","",""
"","","","3D Printers","","","","","183063","",""
"","","","3D Printer Consumables","","","","","183065","",""
"","","","3D Printer Accessories","","","","","260315","New Category",""
"","","","3D Printer Parts","","","","","183066","Renamed from [Parts & Accessories]",""
"","","","3D Scanners","","","","","183064","",""
"","","","3D Scanner Accessories","","","","","260316","New Category",""
"","","","3D Scanner Parts","","","","","260317","New Category",""
"","","Tablets & eBook Readers","","","","","","171485","",""
"","-","Tablet & eBook Reader Accs","","","","","","176970","",""
"","","","Accessory Bundles","","","","","176971","",""
"","","","A/V Cables & Adapters","","","","","176972","",""
"","","","Cases, Covers, Keyboard Folios","","","","","176973","",""
"","","","Chargers & Sync Cables","","","","","176974","",""
"","","","Keyboards","","","","","176975","Renamed from [Docking Stations/Keyboards]",""
"","","","Memory Card & USB Adapters","","","","","176976","",""
"","","","Mounts, Stands & Holders","","","","","176977","",""
"","","","Reading Lights","","","","","176978","",""
"","","","Screen Protectors","","","","","176979","",""
"","","","Stickers & Decals","","","","","176980","",""
"","","","Styluses","","","","","176981","",""
"","","","Other Tablet & eBook Accs","","","","","176982","",""
"","","Tablet & eBook Reader Parts","","","","","","180235","",""
"","+","Laptops & Netbooks","","","","","","175672","",""
"","+","Desktops & All-In-Ones","","","","","","171957","",""
"","+","Laptop & Desktop Accessories","","","","","","31530","",""
"","+","Computer Cables & Connectors","","","","","","182094","",""
"","+","Computer Components & Parts","","","","","","175673","",""
"","+","Drives, Storage & Blank Media","","","","","","165","",""
"","+","Enterprise Networking, Servers","","","","","","175698","",""
"","+","Home Networking & Connectivity","","","","","","11176","",""
"","+","Keyboards, Mice & Pointers","","","","","","3676","",""
"","-","Monitors, Projectors & Accs","","","","","","162497","",""
"","","","Monitors","","","","","80053","",""
"","","","Projectors","","","","","25321","",""
"","","","Monitor Mounts & Stands","","","","","51052","",""
"","","","Monitor Power Supplies","","","","","158845","",""
"","","","Monitor Replacement Parts","","","","","168068","",""
"","","","Projector Accessories","","","","","260137","New Category",""
"","","","Projector Replacement Parts","","","","","99231","Renamed from [Projector Parts & Accessories]",""
"","","","Other Computer Monitors & Accs","","","","","175688","",""
"","+","Power Protection, Distribution","","","","","","86722","",""
"","+","Printers, Scanners & Supplies","","","","","","171961","",""
"","+","Software","","","","","","18793","",""
"","","Manuals & Resources","","","","","","3516","",""
"","+","Vintage Computing","","","","","","11189","",""
"","-","Wholesale Lots","","","","","","159260","This Category is being retired.",""
"","","","Computer Accessories","","","","","51104","All listings are being moved into [Mixed Lots - 259696].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Computer Components & Parts","","","","","51100","All listings are being moved into [Other Components & Parts - 16145].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Desktop Computers","","","","","40176","All listings are being moved into [PC Desktops & All-In-Ones - 179].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Drives, Storage & Blank Media","","","","","42305","All listings are being moved into [Other Drives, Storage & Media - 167].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Laptop & Tablet Computers","","","","","40177","All listings are being moved into [PC Laptops & Netbooks - 177].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Monitors & Projectors","","","","","52539","All listings are being moved into [Monitors - 80053].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Networking & Connectivity","","","","","45090","All listings are being moved into [Other Networking Cables - 101282].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Printers & Scanners","","","","","51330","All listings are being moved into [Printers - 1245].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Printer Supplies & Accessories","","","","","42306","All listings are being moved into [Other Printer & Scanner Accs - 170599].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Software","","","","","40134","All listings are being moved into [Other Computer Software - 182].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Other Computer Whlsl Lots","","","","","31579","All listings are being moved into [Mixed Lots - 259696].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","Mixed Lots","","","","","","259696","New Category",""
"","","Other Computers & Networking","","","","","","162","",""
"-","Consumer Electronics","","","","","","","293","",""
"","-","Surveillance & Smart Home Electronics","","","","","","185067","",""
"","","+","Home Surveillance","","","","","48633","",""
"","","-","Smart Speakers, Hubs & Accessories","","","","","185034","",""
"","","","","Smart Speakers","","","","184435","",""
"","","","","Smart Speaker Accessories","","","","185043","Renamed from [Smart Speaker & Hub Accessories]",""
"","","","","Smart Speaker Parts","","","","260301","New Category",""
"","","","","Smart Home Hubs","","","","185068","Renamed from [Smart Home Central Hubs]",""
"","","","","Smart Home Hub Accessories","","","","185119","Renamed from [Smart Speaker & Hub Parts]",""
"","","","","Smart Home Hub Parts","","","","260302","New Category",""
"","","","Smart Plugs","","","","","185061","",""
"","","","Smart Plug Parts & Accessories","","","","","257930","",""
"","","","Other Smart Home Electronics","","","","","185065","",""
"","+","Virtual Reality","","","","","","183067","",""
"","-","Portable Audio & Headphones","","","","","","15052","",""
"","","","Headphones","","","","","112529","",""
"","","","Headphone Accessories","","","","","260318","New Category",""
"","","","Headphone Parts","","","","","184618","Renamed from [Headphone Parts & Accessories]",""
"","","","iPods & MP3 Players","","","","","73839","",""
"","","+","Portable Audio Accessories","","","","","56169","",""
"","","","Audio Docks & Mini Speakers","","","","","111694","",""
"","","","Personal Cassette Players","","","","","15053","",""
"","","","Personal CD Players","","","","","15054","",""
"","","","Personal MiniDisc Recorders","","","","","15056","",""
"","","","Portable AM/FM Radios","","","","","96954","",""
"","","","Portable Satellite Radios","","","","","109256","",""
"","","","Portable Stereos & Boomboxes","","","","","48626","",""
"","","","Replacement Parts & Tools","","","","","163769","",""
"","+","TV, Video & Home Audio","","","","","","32852","",""
"","+","Vehicle Electronics & GPS","","","","","","3270","",""
"","+","Home Telephones & Accessories","","","","","","3286","",""
"","+","Multipurpose Batteries & Power","","","","","","48446","",""
"","+","Radio Communication","","","","","","1500","",""
"","","Smart Glasses","","","","","","178894","",""
"","+","Vintage Electronics","","","","","","183077","",""
"","","Mixed Lots","","","","","","259701","",""
"","","Other Consumer Electronics","","","","","","175837","",""
"+","Crafts","","","","","","","14339","",""
"+","Dolls & Bears","","","","","","","237","",""
"+","DVDs & Movies","","","","","","","11232","",""
"+","Entertainment Memorabilia","","","","","","","45100","",""
"+","Gift Cards & Coupons","","","","","","","172008","",""
"+","Health & Beauty","","","","","","","26395","",""
"-","Home & Garden","","","","","","","11700","",""
"","+","Bath","","","","","","26677","",""
"","+","Bedding","","","","","","20444","",""
"","-","Food & Beverages","","","","","","14308","",""
"","","-","Alcohol & Alcohol Mixers","","","","","179836","",""
"","","","","Beer","","","","148495","",""
"","","","","Cider","","","","182109","",""
"","","","","Cocktail Mixers","","","","179837","All listings are being moved into [Cocktail & Mixes - 258856].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Cocktail Rimming Salts, Sugars","","","","179838","All listings are being moved into [Salt & Pepper - 257980].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Coolers, Flavored Alcohol","","","","179839","All listings are being moved into [Cocktail & Mixes - 258856].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Spirits & Liqueurs","","","","8384","All listings are being moved into [Other Wines, Liqueurs & Spirits - 258854].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","-","Wine","","","","26270","The Category ID is being changed to [258852].","Please update your category ID accordingly."
"","","","","","Champagne & Sparkling Wines","","","26272","All listings are being moved into [Wine - 258852].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Red Wines","","","38182","All listings are being moved into [Wine - 258852].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","White Wines","","","38183","All listings are being moved into [Wine - 258852].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Other Wines","","","22420","All listings are being moved into [Other Wines, Liqueurs & Spirits - 258854].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Cocktail & Mixes","","","","258856","New Category",""
"","","","","Absinthe","","","","258505","New Category",""
"","","","","Brandy, Cognac & Distilled Wine","","","","258507","New Category",""
"","","","","Sake, Soju & Rice Based","","","","258506","New Category",""
"","","","","Gin","","","","258855","New Category",""
"","","","","Liqueurs","","","","258857","New Category",""
"","","","","Rum","","","","258508","New Category",""
"","","","","Tequila & Agave Drinks","","","","258509","New Category",""
"","","","","Vodka & Akvavit","","","","258850","New Category",""
"","","","","Whisky","","","","258851","New Category",""
"","","","","Wine","","","","258852","New Category",""
"","","","","Sherry, Port & Fortified Wine","","","","258853","New Category",""
"","","","","Other Wines, Liqueurs & Spirits","","","","258854","New Category",""
"","","","Beer & Wine Making","","","","","38172","All listings are being moved into [Equipment - 260139].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","+","Non-Alcoholic Drinks","","","","","185035","",""
"","","","Cheese","","","","","62706","",""
"","","","Ice Cream","","","","","179834","",""
"","","+","Pantry","","","","","257942","",""
"","","","Hampers & Gift Assortments","","","","","258026","",""
"","","","Food Coupons","","","","","57742","All listings are being moved into [Coupons - 172010].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Other Food & Beverages","","","","","79631","",""
"","-","Fresh Cut Flowers","","","","","","178069","Renamed from [Fresh Cut Flowers & Supplies]",""
"","","","Fresh Cut Flower Bouquets","","","","","177757","",""
"","","","Bulk Fresh Flowers","","","","","178070","",""
"","","","Cut Flower Arranging Supplies","","","","","178071","All listings are being moved into [Other Floral Craft Supplies - 3097].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Other Fresh Cut Flowers","","","","","178072","All listings are being moved into [Other Floral Craft Supplies - 3097].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","-","Furniture","","","","","","3197","",""
"","","","Armoires & Wardrobes","","","","","103430","",""
"","","","Bar Carts & Serving Carts","","","","","183320","",""
"","","","Bar Stools","","","","","153928","All listings are being moved into [Benches, Stools & Bar Stools - 103431].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Bean Bags & Inflatables","","","","","48319","",""
"","","-","Beds & Mattresses","","","","","32254","",""
"","","","","Beds & Bed Frames","","","","175758","",""
"","","","","Headboards & Footboards","","","","109064","",""
"","","","","Inflatable Mattresses, Airbeds","","","","131598","",""
"","","","","Mattresses","","","","131588","",""
"","","","","Waterbeds","","","","107504","New Category",""
"","","","","Bed & Waterbed Accessories","","","","66737","",""
"","","","","Other Beds & Mattresses","","","","122759","",""
"","","","Bedroom Sets","","","","","20480","",""
"","","","Benches, Stools & Bar Stools","","","","","103431","Renamed from [Benches & Stools]",""
"","","","Bookcases & Shelving","","","","","3199","Renamed from [Bookcases]",""
"","","","Cabinets & Cupboards","","","","","20487","",""
"","","","CD & Video Racks","","","","","22653","",""
"","","","Chairs","","","","","54235","",""
"","","","Dining Sets","","","","","107578","",""
"","","","Dressers & Chests of Drawers","","","","","114397","",""
"","","","Futons, Frames & Covers","","","","","131579","",""
"","","","Home Office Desks","","","","","88057","Renamed from [Desks & Home Office Furniture]",""
"","","","Nightstands","","","","","38199","",""
"","","","Ottomans, Footstools & Poufs","","","","","20490","",""
"","","","Screens & Room Dividers","","","","","31601","",""
"","","","Sideboards & Buffets","","","","","183322","",""
"","","","Slipcovers","","","","","175754","",""
"","","","Sofas, Armchairs & Couches","","","","","38208","Renamed from [Sofas, Loveseats & Chaises]",""
"","","","Tables","","","","","38204","",""
"","","","Trunks & Chests","","","","","125085","",""
"","","","TV Stands & Entertainment Units","","","","","20488","Renamed from [Entertainment Units, TV Stands]",""
"","","","Vanities & Makeup Tables","","","","","32878","",""
"","","","Furniture Accessories","","","","","34386","New Category",""
"","","","Furniture Parts","","","","","179690","Renamed from [Furniture Parts & Accessories]",""
"","","","Other Home Furniture","","","","","175752","",""
"","+","Greeting Cards & Party Supply","","","","","","16086","",""
"","+","Holiday & Seasonal Décor","","","","","","170090","",""
"","-","Home Décor","","","","","","10033","",""
"","","","Afghans & Throw Blankets","","","","","20549","",""
"","","","Ashtrays","","","","","74316","New Category",""
"","","","Baskets","","","","","125072","",""
"","","","Bookends","","","","","20551","",""
"","","","Bottles","","","","","36016","",""
"","","","Boxes, Jars & Tins","","","","","36017","",""
"","","","Candles","","","","","46782","",""
"","","","Candle Holders & Accessories","","","","","16102","",""
"","","+","Clocks","","","","","258031","",""
"","","","Decals, Stickers & Vinyl Art","","","","","159889","",""
"","","","Decorative Fans","","","","","41509","New Category",""
"","","","Decorative Fruit & Vegetables","","","","","36018","",""
"","","","Decorative Plates & Bowls","","","","","36019","",""
"","","","Display Easels","","","","","38225","",""
"","","","Door Décor","","","","","36020","All listings are being moved into [Other Home Décor - 10034].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Doorstops","","","","","36022","",""
"","","","Floral Décor","","","","","4959","",""
"","","","Frames","","","","","79654","",""
"","","","Globes","","","","","36023","",""
"","","-","Home Fragrances","","","","","20552","",""
"","","","","Catalytic Fragrance Lamps","","","","168137","All listings are being moved into [Home Fragrances - 20552].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Essential Oils & Diffusers","","","","20553","All listings are being moved into [Home Fragrances - 20552].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Incense","","","","43405","All listings are being moved into [Home Fragrances - 20552].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Incense Burners","","","","43403","All listings are being moved into [Home Fragrances - 20552].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Potpourri","","","","20555","All listings are being moved into [Home Fragrances - 20552].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other Home Fragrances","","","","36925","All listings are being moved into [Home Fragrances - 20552].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Indoor Fountains","","","","","20569","",""
"","","","Key & Letter Holders","","","","","31586","",""
"","","","Masks","","","","","38235","",""
"","","","Message Boards & Holders","","","","","41510","",""
"","","","Mirrors","","","","","20580","",""
"","","","Pillows","","","","","20563","",""
"","","","Plaques & Signs","","","","","31587","",""
"","","","Plate Racks & Hangers","","","","","31588","",""
"","","","Posters & Prints","","","","","41511","",""
"","","","Shadow Boxes","","","","","41512","All listings are being moved into [Frames - 79654].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Sculptures & Figurines","","","","","36025","Renamed from [Figurines]",""
"","","","Suncatchers & Mobiles","","","","","20578","",""
"","","","Tapestries","","","","","38237","",""
"","","","Tile Art","","","","","79655","All listings are being moved into [Floor & Wall Tiles - 45800].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Vases","","","","","101415","",""
"","","","Wall Pockets","","","","","115979","All listings are being moved into [Other Home Organization - 20621].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","Wall Sculptures","","","","","166729","All listings are being moved into [Sculptures & Figurines - 36025].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Wall Shelves","","","","","45501","All listings are being moved into [Bookcases & Shelving - 3199].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","Other Home Décor","","","","","10034","",""
"","-","Home Improvement","","","","","","159907","",""
"","","-","Building & Hardware","","","","","3187","",""
"","","","","Building Plans & Blueprints","","","","42130","",""
"","","","+","Cabinets, Countertops & Hardware","","","","41971","",""
"","","","+","Doors & Door Hardware","","","","41976","",""
"","","","+","Flooring & Tiles","","","","180983","",""
"","","","+","Garage Doors & Openers","","","","180972","",""
"","","","+","Gutters, Gutter Guards & Downspouts","","","","259231","",""
"","","","","Lettering & Numbering Hardware","","","","259222","",""
"","","","+","Lumber & Composites","","","","180969","",""
"","","","+","Mailboxes, Slots & Hardware","","","","259223","",""
"","","","+","Molding & Millwork","","","","259249","",""
"","","","+","Nails, Screws & Fasteners","","","","180974","",""
"","","","-","Paint Sprayers & Accessories","","","","259207","Renamed from [Paint Sprayers & Guns]",""
"","","","","","Spray Guns","","","259208","All listings are being moved into [Sprayers & Spray Guns - 260160].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Sprayers","","","259209","All listings are being moved into [Sprayers & Spray Guns - 260160].","After 17 October: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","","Sprayers & Spray Guns","","","260160","New Category",""
"","","","","","Hoses","","","259210","",""
"","","","","","Tips","","","259211","",""
"","","","","","Filters & Screens","","","259212","",""
"","","","","","Gun Extensions","","","259213","",""
"","","","","","Sprayer Fittings & Couplings","","","259214","",""
"","","","","","Tip Guards","","","259215","",""
"","","","","","Pressure Rollers & Accessories","","","259216","",""
"","","","+","Paint, Stain & Varnish","","","","180979","",""
"","","","+","Painting Supplies","","","","41989","",""
"","","","+","Roofing Tiles & Shingles","","","","259225","",""
"","","","+","Siding, Skirting & Outdoor Trim","","","","259243","",""
"","","","+","Stairs & Railing","","","","259236","",""
