"October 2019 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","277","","","","","","","","",""
"Retired","197","","","","","","","","",""
"Rename","133","","","","","","","","",""
"Move","50","","","","","","","","",""
"Move & Rename","24","","","","","","","","",""
"Total","681","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","Other Medical & Lab Equipment","","","","185256","",""
"","","+","Medical/Lab Equipment Attachments & Accessories","","","","","184512","",""
"","","+","Medical, Lab & Dental Supplies","","","","","185284","",""
"","","+","Medical, Lab & Caregiving Furniture","","","","","184500","",""
"","","","Other Healthcare, Lab & Dental","","","","","3179","",""
"","+","Heavy Equipment, Parts & Attachments","","","","","","257887","",""
"","-","HVAC & Refrigeration","","","","","","42909","Renamed from [HVAC]",""
"","","-","HVAC & Refrigeration Units","","","","","109477","Renamed from [HVAC Units]",""
"","","","","Central Air Conditioning Units","","","","183953","",""
"","","","","Central Heating Units","","","","184291","",""
"","","","","Freezer Units","","","","124612","All listings are being moved into [Other HVAC & Refrigeration Units - 184292].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Heat Pumps","","","","183954","",""
"","","","","Humidifiers & Dehumidifiers","","","","183955","",""
"","","","","Portable AC Units","","","","124616","",""
"","","","","Portable Heaters","","","","183956","",""
"","","","","Refrigeration Units","","","","183958","All listings are being moved into [Other HVAC & Refrigeration Units - 184292].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","-","Refrigeration Equipment","","","","260062","New Category",""
"","","","","","Air Coolers","","","260063","New Category",""
"","","","","","Chillers","","","260064","New Category",""
"","","","","","Cooling Towers","","","260065","New Category",""
"","","","","","Dry/Fluid Coolers","","","260066","New Category",""
"","","","","Other HVAC & Refrigeration Units","","","","184292","New Category",""
"","","-","HVAC & Refrigeration Components","","","","","260068","New Category",""
"","","","","Air Handlers","","","","124619","Moved from [HVAC Parts-53295]",""
"","","","","Condensers","","","","183961","Moved from [HVAC Parts-53295] Renamed from [HVAC Condensers]",""
"","","","","Evaporators","","","","124621","Moved from [HVAC Parts-53295] Renamed from [HVAC Evaporators]",""
"","","","","Heat Exchangers","","","","109484","Moved from [HVAC Parts-53295]",""
"","","","","HVAC Ducting & Duct Hoses","","","","185124","Moved from [HVAC Parts-53295]",""
"","","","","HVAC Vents","","","","185125","Moved from [HVAC Parts-53295]",""
"","","","-","Refrigerants","","","","260069","New Category",""
"","","","","","MO99","","","260071","New Category",""
"","","","","","R-12","","","260074","New Category",""
"","","","","","R-123","","","260075","New Category",""
"","","","","","R-1234yf","","","260076","New Category",""
"","","","","","R-12a","","","260077","New Category",""
"","","","","","R-134a","","","260078","New Category",""
"","","","","","R-22","","","260079","New Category",""
"","","","","","R-290","","","260080","New Category",""
"","","","","","R-401a","","","260081","New Category",""
"","","","","","R-401b","","","260082","New Category",""
"","","","","","R-402a","","","260083","New Category",""
"","","","","","R-402b","","","260084","New Category",""
"","","","","","R-404a","","","260085","New Category",""
"","","","","","R-407a","","","260086","New Category",""
"","","","","","R-407c","","","260087","New Category",""
"","","","","","R-408a","","","260088","New Category",""
"","","","","","R-409a","","","260089","New Category",""
"","","","","","R-410a","","","260090","New Category",""
"","","","","","R-414b","","","260091","New Category",""
"","","","","","R-416a","","","260092","New Category",""
"","","","","","R-422b","","","260093","New Category",""
"","","","","","R-422c","","","260094","New Category",""
"","","","","","R-422d","","","260095","New Category",""
"","","","","","R-427a","","","260096","New Category",""
"","","","","","R-448a","","","260097","New Category",""
"","","","","","R-502","","","260099","New Category",""
"","","","","","R-507","","","260100","New Category",""
"","","","","","R-600a","","","260101","New Category",""
"","","","","Refrigeration Compressor Racks","","","","260102","New Category",""
"","","","","Refrigeration Compressors","","","","183960","Moved from [HVAC Parts-53295] Renamed from [HVAC Refrigeration Compressors]",""
"","","","","Refrigeration Systems","","","","260103","New Category",""
"","","","","Other HVAC & Refrigeration Components","","","","260104","New Category",""
"","","-","HVAC & Refrigeration Parts/Accessories","","","","","53295","Renamed from [HVAC Parts]",""
"","","","","Accumulators","","","","260105","New Category",""
"","","","","Boiler Expansion Tanks","","","","185123","",""
"","","","","Coil & Surface Protectants","","","","260106","New Category",""
"","","","","Filter Driers","","","","183965","Renamed from [Filter-Driers]",""
"","","","","HVAC Air Filters","","","","183959","",""
"","","","","HVAC Damper Actuators","","","","183963","",""
"","","","","HVAC Dampers","","","","183962","",""
"","","","","HVAC Sensors","","","","53301","",""
"","","","","HVAC/R Adapters","","","","260107","New Category",""
"","","","","HVAC/R Cartridge Heaters","","","","260108","New Category",""
"","","","","HVAC/R Cartridges","","","","260109","New Category",""
"","","","","HVAC/R Coil Assemblies","","","","260110","New Category",""
"","","","","HVAC/R Coils","","","","260111","New Category",""
"","","","","HVAC/R Contactors","","","","260112","New Category",""
"","","","","HVAC/R Controls & Circuit Boards","","","","53296","Renamed from [HVAC Controls]",""
"","","","","HVAC/R Fans & Blowers","","","","53297","Renamed from [HVAC Fans & Blowers]",""
"","","","","Refrigerant Tanks","","","","185126","All listings are being moved into [Other HVAC & Refrigeration Components - 260104].","Before 15 October: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","HVAC/R Leak Sealants","","","","183972","Moved from [HVAC Tools-66996] Renamed from [HVAC Unit Leak Sealants]",""
"","","","","HVAC/R Motors","","","","260113","New Category",""
"","","","","HVAC/R Pipes & Tubes","","","","260114","New Category",""
"","","","","HVAC/R Pressure Regulators","","","","260115","New Category",""
"","","","","HVAC/R Pressure Switches","","","","260116","New Category",""
"","","","","HVAC/R Thermostats","","","","53302","Renamed from [HVAC Thermostats]",""
"","","","","HVAC/R Valves","","","","260117","New Category",""
"","","","","Refrigerant Cap Locks","","","","260118","New Category",""
"","","","","Refrigerant Labels","","","","260119","New Category",""
"","","","","Refrigeration Gaskets","","","","260120","New Category",""
"","","","","Refrigeration Hoses","","","","260121","New Category",""
"","","","","Refrigeration Lubricants","","","","260122","New Category",""
"","","","","Restrictors & Orifices","","","","260123","New Category",""
"","","","","Scale Inhibitors & Removers","","","","260124","New Category",""
"","","","","Sight Glasses & Moisture Indicators","","","","260125","New Category",""
"","","","","Other HVAC & Refrigeration Parts/Accessories","","","","42911","Renamed from [Other HVAC Parts]",""
"","","-","HVAC & Refrigeration Tools","","","","","66996","Renamed from [HVAC Tools]",""
"","","","","Ducting Crimpers","","","","183966","",""
"","","","","Ducting Installation Tools","","","","183967","",""
"","","","","HVAC/R Gauges & Probes","","","","66998","Renamed from [HVAC Gauges]",""
"","","","","HVAC/R Leak Detectors","","","","53298","Renamed from [HVAC System Leak Detectors]",""
"","","","","Recovery Cylinder Tanks","","","","260126","New Category",""
"","","","","Refrigerant Evacuation Pumps","","","","260127","New Category",""
"","","","","Refrigerant Recovery Units","","","","109488","",""
"","","","","Refrigerant Replacement Kit","","","","260128","New Category",""
"","","","","Refrigerant Scales & Meters","","","","66997","",""
"","","","","Refrigeration Tubing Tools","","","","260129","New Category",""
"","","","","Other HVAC & Refrigeration Tools","","","","66999","Renamed from [Other HVAC Tools]",""
"","","","Other HVAC & Refrigeration","","","","","42912","Renamed from [Other HVAC]",""
"","+","Hydraulics, Pneumatics, Pumps & Plumbing","","","","","","183978","",""
"","-","Industrial Automation & Motion Controls","","","","","","42892","Renamed from [Automation, Motors & Drives]",""
"","","-","Drives & Starters","","","","","78186","",""
"","","","-","Drives & Motor Controls","","","","78188","",""
"","","","","","Drive Reactors","","","260264","New Category",""
"","","","","","General Purpose AC Drives","","","42894","",""
"","","","","","General Purpose DC Drives","","","78190","",""
"","","","","","Servo Drives & Amplifiers","","","78191","",""
"","","","","","Speed Controls","","","71393","",""
"","","","","","Stepper Controls & Drives","","","71394","",""
"","","","","","Variable Frequency Drives","","","78192","",""
"","","","","","Other Motor Controls","","","78193","",""
"","","","-","Starters","","","","181698","",""
"","","","","","Combination Starters","","","181699","",""
"","","","","","Full Voltage (DOL) Starters","","","181700","",""
"","","","","","Magnetic Motor Starters","","","260265","New Category",""
"","","","","","Manual Starters","","","181707","",""
"","","","","","Multi-Speed Starters","","","181701","",""
"","","","","","Reduced Voltage/Soft Starters","","","181702","",""
